t,x,y,ax,ay
14.90,-0.9639324080,-0.0283523786,-1.4138535302,0.0319091688
15.00,-0.9562775081,-0.1242211125,-1.4099757530,-0.1094000727
15.10,-0.9390740093,-0.2183675829,-1.3920099642,-0.2496162248
15.20,-0.9125418810,-0.3098565395,-1.3601356719,-0.3873382942
15.30,-0.8769935177,-0.3977840267,-1.3146713535,-0.5211902073
15.40,-0.8328301474,-0.4812862898,-1.2560712736,-0.6498345601
15.50,-0.7805373677,-0.5595482341,-1.1849209448,-0.7719859809
15.60,-0.7206798574,-0.6318113542,-1.1019312775,-0.8864239729
15.70,-0.6538953227,-0.6973810564,-1.0079314771,-0.9920051096
15.80,-0.5808877405,-0.7556333043,-0.9038607586,-1.0876744591
15.90,-0.5024199713,-0.8060205234,-0.7907589622,-1.1724761250
16.00,-0.4193058191,-0.8480767103,-0.6697561637,-1.2455627970
16.10,-0.3324016190,-0.8814216986,-0.5420613829,-1.3062042173
16.20,-0.2425974410,-0.9057645432,-0.4089505040,-1.3537944768
16.30,-0.1508079995,-0.9209059925,-0.2717535268,-1.3878580694
16.40,-0.0579633603,-0.9267400305,-0.1318412782,-1.4080546429
16.50,0.0350004596,-0.9232544754,0.0093882849,-1.4141823999
16.60,0.1271509048,-0.9105306348,0.1505240433,-1.4061801138
16.70,0.2175682138,-0.8887420257,0.2901558152,-1.3841277408
16.80,0.3053545753,-0.8581521761,0.4268884462,-1.3482456210
16.90,0.3896430200,-0.8191115355,0.5593557489,-1.2988922766
17.00,0.4696059584,-0.7720535289,0.6862341538,-1.2365608299
17.10,0.5444632815,-0.7174897992,0.8062559340,-1.1618740762
17.20,0.6134899450,-0.6560046889,0.9182218713,-1.0755782608
17.30,0.6760229642,-0.5882490200,1.0210132392,-0.9785356229
17.40,0.7314677514,-0.5149332391,1.1136029804,-0.8717157805
17.50,0.7793037365,-0.4368199985,1.1950659687,-0.7561860423
17.60,0.8190892177,-0.3547162508,1.2645882528,-0.6331007430
17.70,0.8504653967,-0.2694649388,1.3214751892,-0.5036897104
17.80,0.8731595636,-0.1819363661,1.3651583823,-0.3692459767
17.90,0.8869874024,-0.0930193360,1.3952013641,-0.2311128593
18.00,0.8918543990,-0.0036121492,1.4113039550,-0.0906705385
18.10,0.8877563419,0.0853864485,1.4133052634,0.0506777323
18.20,0.8747789153,0.1730862792,1.4011852927,0.1915196479
18.30,0.8530963929,0.2586146132,1.3750651418,0.3304479625
18.40,0.8229694496,0.3411248322,1.3352057945,0.4660745503
18.50,0.7847421191,0.4198047865,1.2820055122,0.5970442753
18.60,0.7388379299,0.4938847650,1.2159958547,0.7220485312
18.70,0.6857552637,0.5626450009,1.1378363685,0.8398383169
18.80,0.6260619873,0.6254226384,1.0483079975,0.9492367157
18.90,0.5603894135,0.6816180953,0.9483052794,1.0491506551
19.00,0.4894256569,0.7307007583,0.8388274085,1.1385818278
19.10,0.4139084528,0.7722139600,0.7209682514,1.2166366674
19.20,0.3346175145,0.8057791886,0.5959054179,1.2825352755
19.30,0.2523665081,0.8310994938,0.4648884944,1.3356192151
19.40,0.1679947262,0.8479620580,0.3292265587,1.3753580890
19.50,0.0823585468,0.8562399114,0.1902751001,1.4013548395
19.60,-0.0036772371,0.8558927773,0.0494224756,1.4133497157
19.70,-0.0892481287,0.8469670451,-0.0919239620,1.4112228687
19.80,-0.1734985925,0.8295948738,-0.2323519257,1.3949955493
19.90,-0.2555905869,0.8039924405,-0.3704583058,1.3648298955
20.00,-0.3347118781,0.7704573550,-0.5048631889,1.3210273125
