t;f ;; t;y ;; t;g ;; t;z ;; t;fx;fy ;; t;cx;cy ;; t;Cx;Cy
6.630 ; 0.500 ;; 6.630 ; Infinity ;; 6.630 ; 0.500 ;; 6.630 ; NaN ;; 6.630 ; 0.367 ; 0.001 ;; 6.630 ; 0.969 ; 0.361 ;; 6.630 ; 0.937 ; 0.349
6.640 ; 0.500 ;; 6.640 ; Infinity ;; 6.640 ; 0.500 ;; 6.640 ; NaN ;; 6.640 ; 0.367 ; 0.001 ;; 6.640 ; 0.965 ; 0.371 ;; 6.640 ; 0.933 ; 0.359
6.650 ; 0.500 ;; 6.650 ; Infinity ;; 6.650 ; 0.500 ;; 6.650 ; NaN ;; 6.650 ; 0.367 ; 0.001 ;; 6.650 ; 0.961 ; 0.380 ;; 6.650 ; 0.930 ; 0.368
6.660 ; 0.500 ;; 6.660 ; Infinity ;; 6.660 ; 0.500 ;; 6.660 ; NaN ;; 6.660 ; 0.367 ; 0.001 ;; 6.660 ; 0.958 ; 0.390 ;; 6.660 ; 0.926 ; 0.377
6.670 ; 0.500 ;; 6.670 ; Infinity ;; 6.670 ; 0.500 ;; 6.670 ; NaN ;; 6.670 ; 0.367 ; 0.001 ;; 6.670 ; 0.954 ; 0.399 ;; 6.670 ; 0.922 ; 0.387
6.680 ; 0.500 ;; 6.680 ; Infinity ;; 6.680 ; 0.500 ;; 6.680 ; NaN ;; 6.680 ; 0.367 ; 0.001 ;; 6.680 ; 0.950 ; 0.409 ;; 6.680 ; 0.918 ; 0.396
6.690 ; 0.500 ;; 6.690 ; Infinity ;; 6.690 ; 0.500 ;; 6.690 ; NaN ;; 6.690 ; 0.367 ; 0.001 ;; 6.690 ; 0.946 ; 0.418 ;; 6.690 ; 0.914 ; 0.405
6.700 ; 0.500 ;; 6.700 ; Infinity ;; 6.700 ; 0.500 ;; 6.700 ; NaN ;; 6.700 ; 0.367 ; 0.001 ;; 6.700 ; 0.941 ; 0.428 ;; 6.700 ; 0.910 ; 0.414
6.710 ; 0.500 ;; 6.710 ; Infinity ;; 6.710 ; 0.500 ;; 6.710 ; NaN ;; 6.710 ; 0.367 ; 0.001 ;; 6.710 ; 0.937 ; 0.437 ;; 6.710 ; 0.906 ; 0.423
6.720 ; 0.500 ;; 6.720 ; Infinity ;; 6.720 ; 0.500 ;; 6.720 ; NaN ;; 6.720 ; 0.367 ; 0.001 ;; 6.720 ; 0.933 ; 0.447 ;; 6.720 ; 0.902 ; 0.432
6.730 ; 0.500 ;; 6.730 ; Infinity ;; 6.730 ; 0.500 ;; 6.730 ; NaN ;; 6.730 ; 0.367 ; 0.001 ;; 6.730 ; 0.928 ; 0.456 ;; 6.730 ; 0.897 ; 0.441
6.740 ; 0.500 ;; 6.740 ; Infinity ;; 6.740 ; 0.500 ;; 6.740 ; NaN ;; 6.740 ; 0.367 ; 0.001 ;; 6.740 ; 0.924 ; 0.465 ;; 6.740 ; 0.893 ; 0.450
6.750 ; 0.500 ;; 6.750 ; Infinity ;; 6.750 ; 0.500 ;; 6.750 ; NaN ;; 6.750 ; 0.367 ; 0.001 ;; 6.750 ; 0.919 ; 0.475 ;; 6.750 ; 0.888 ; 0.459
6.760 ; 0.500 ;; 6.760 ; Infinity ;; 6.760 ; 0.500 ;; 6.760 ; NaN ;; 6.760 ; 0.367 ; 0.001 ;; 6.760 ; 0.914 ; 0.484 ;; 6.760 ; 0.884 ; 0.468
6.770 ; 0.500 ;; 6.770 ; Infinity ;; 6.770 ; 0.500 ;; 6.770 ; NaN ;; 6.770 ; 0.367 ; 0.001 ;; 6.770 ; 0.910 ; 0.493 ;; 6.770 ; 0.879 ; 0.477
6.780 ; 0.500 ;; 6.780 ; Infinity ;; 6.780 ; 0.500 ;; 6.780 ; NaN ;; 6.780 ; 0.367 ; 0.001 ;; 6.780 ; 0.905 ; 0.502 ;; 6.780 ; 0.874 ; 0.485
6.790 ; 0.500 ;; 6.790 ; Infinity ;; 6.790 ; 0.500 ;; 6.790 ; NaN ;; 6.790 ; 0.367 ; 0.001 ;; 6.790 ; 0.900 ; 0.511 ;; 6.790 ; 0.869 ; 0.494
6.800 ; 0.500 ;; 6.800 ; Infinity ;; 6.800 ; 0.500 ;; 6.800 ; NaN ;; 6.800 ; 0.367 ; 0.001 ;; 6.800 ; 0.894 ; 0.520 ;; 6.800 ; 0.864 ; 0.503
6.810 ; 0.500 ;; 6.810 ; Infinity ;; 6.810 ; 0.500 ;; 6.810 ; NaN ;; 6.810 ; 0.367 ; 0.001 ;; 6.810 ; 0.889 ; 0.529 ;; 6.810 ; 0.859 ; 0.511
6.820 ; 0.500 ;; 6.820 ; Infinity ;; 6.820 ; 0.500 ;; 6.820 ; NaN ;; 6.820 ; 0.367 ; 0.001 ;; 6.820 ; 0.884 ; 0.538 ;; 6.820 ; 0.854 ; 0.520
6.830 ; 0.500 ;; 6.830 ; Infinity ;; 6.830 ; 0.500 ;; 6.830 ; NaN ;; 6.830 ; 0.367 ; 0.001 ;; 6.830 ; 0.879 ; 0.547 ;; 6.830 ; 0.849 ; 0.529
6.840 ; 0.500 ;; 6.840 ; Infinity ;; 6.840 ; 0.500 ;; 6.840 ; NaN ;; 6.840 ; 0.367 ; 0.001 ;; 6.840 ; 0.873 ; 0.555 ;; 6.840 ; 0.844 ; 0.537
6.850 ; 0.500 ;; 6.850 ; Infinity ;; 6.850 ; 0.500 ;; 6.850 ; NaN ;; 6.850 ; 0.367 ; 0.001 ;; 6.850 ; 0.868 ; 0.564 ;; 6.850 ; 0.838 ; 0.545
6.860 ; 0.500 ;; 6.860 ; Infinity ;; 6.860 ; 0.500 ;; 6.860 ; NaN ;; 6.860 ; 0.367 ; 0.001 ;; 6.860 ; 0.862 ; 0.573 ;; 6.860 ; 0.833 ; 0.554
6.870 ; 0.500 ;; 6.870 ; Infinity ;; 6.870 ; 0.500 ;; 6.870 ; NaN ;; 6.870 ; 0.367 ; 0.001 ;; 6.870 ; 0.856 ; 0.581 ;; 6.870 ; 0.827 ; 0.562
6.880 ; 0.500 ;; 6.880 ; Infinity ;; 6.880 ; 0.500 ;; 6.880 ; NaN ;; 6.880 ; 0.367 ; 0.001 ;; 6.880 ; 0.850 ; 0.590 ;; 6.880 ; 0.821 ; 0.570
6.890 ; 0.500 ;; 6.890 ; Infinity ;; 6.890 ; 0.500 ;; 6.890 ; NaN ;; 6.890 ; 0.367 ; 0.001 ;; 6.890 ; 0.844 ; 0.599 ;; 6.890 ; 0.816 ; 0.579
6.900 ; 0.500 ;; 6.900 ; Infinity ;; 6.900 ; 0.500 ;; 6.900 ; NaN ;; 6.900 ; 0.367 ; 0.001 ;; 6.900 ; 0.839 ; 0.607 ;; 6.900 ; 0.810 ; 0.587
6.910 ; 0.500 ;; 6.910 ; Infinity ;; 6.910 ; 0.500 ;; 6.910 ; NaN ;; 6.910 ; 0.367 ; 0.001 ;; 6.910 ; 0.832 ; 0.615 ;; 6.910 ; 0.804 ; 0.595
6.920 ; 0.500 ;; 6.920 ; Infinity ;; 6.920 ; 0.500 ;; 6.920 ; NaN ;; 6.920 ; 0.367 ; 0.001 ;; 6.920 ; 0.826 ; 0.624 ;; 6.920 ; 0.798 ; 0.603
6.930 ; 0.500 ;; 6.930 ; Infinity ;; 6.930 ; 0.500 ;; 6.930 ; NaN ;; 6.930 ; 0.367 ; 0.001 ;; 6.930 ; 0.820 ; 0.632 ;; 6.930 ; 0.792 ; 0.611
6.940 ; 0.500 ;; 6.940 ; Infinity ;; 6.940 ; 0.500 ;; 6.940 ; NaN ;; 6.940 ; 0.367 ; 0.001 ;; 6.940 ; 0.814 ; 0.640 ;; 6.940 ; 0.786 ; 0.619
6.950 ; 0.500 ;; 6.950 ; Infinity ;; 6.950 ; 0.500 ;; 6.950 ; NaN ;; 6.950 ; 0.367 ; 0.001 ;; 6.950 ; 0.807 ; 0.648 ;; 6.950 ; 0.779 ; 0.626
6.960 ; 0.500 ;; 6.960 ; Infinity ;; 6.960 ; 0.500 ;; 6.960 ; NaN ;; 6.960 ; 0.367 ; 0.001 ;; 6.960 ; 0.801 ; 0.656 ;; 6.960 ; 0.773 ; 0.634
6.970 ; 0.500 ;; 6.970 ; Infinity ;; 6.970 ; 0.500 ;; 6.970 ; NaN ;; 6.970 ; 0.367 ; 0.001 ;; 6.970 ; 0.794 ; 0.664 ;; 6.970 ; 0.767 ; 0.642
6.980 ; 0.500 ;; 6.980 ; Infinity ;; 6.980 ; 0.500 ;; 6.980 ; NaN ;; 6.980 ; 0.367 ; 0.001 ;; 6.980 ; 0.788 ; 0.672 ;; 6.980 ; 0.760 ; 0.650
6.990 ; 0.500 ;; 6.990 ; Infinity ;; 6.990 ; 0.500 ;; 6.990 ; NaN ;; 6.990 ; 0.367 ; 0.001 ;; 6.990 ; 0.781 ; 0.680 ;; 6.990 ; 0.754 ; 0.657
7.000 ; 0.500 ;; 7.000 ; Infinity ;; 7.000 ; 0.500 ;; 7.000 ; NaN ;; 7.000 ; 0.367 ; 0.001 ;; 7.000 ; 0.774 ; 0.688 ;; 7.000 ; 0.747 ; 0.665
7.010 ; 0.500 ;; 7.010 ; Infinity ;; 7.010 ; 0.500 ;; 7.010 ; NaN ;; 7.010 ; 0.367 ; 0.001 ;; 7.010 ; 0.767 ; 0.696 ;; 7.010 ; 0.741 ; 0.672
7.020 ; 0.500 ;; 7.020 ; Infinity ;; 7.020 ; 0.500 ;; 7.020 ; NaN ;; 7.020 ; 0.367 ; 0.001 ;; 7.020 ; 0.760 ; 0.703 ;; 7.020 ; 0.734 ; 0.679
7.030 ; 0.500 ;; 7.030 ; Infinity ;; 7.030 ; 0.500 ;; 7.030 ; NaN ;; 7.030 ; 0.367 ; 0.001 ;; 7.030 ; 0.753 ; 0.711 ;; 7.030 ; 0.727 ; 0.687
7.040 ; 0.500 ;; 7.040 ; Infinity ;; 7.040 ; 0.500 ;; 7.040 ; NaN ;; 7.040 ; 0.367 ; 0.001 ;; 7.040 ; 0.746 ; 0.719 ;; 7.040 ; 0.720 ; 0.694
7.050 ; 0.500 ;; 7.050 ; Infinity ;; 7.050 ; 0.500 ;; 7.050 ; NaN ;; 7.050 ; 0.367 ; 0.001 ;; 7.050 ; 0.739 ; 0.726 ;; 7.050 ; 0.713 ; 0.701
7.060 ; 0.500 ;; 7.060 ; Infinity ;; 7.060 ; 0.500 ;; 7.060 ; NaN ;; 7.060 ; 0.367 ; 0.001 ;; 7.060 ; 0.732 ; 0.733 ;; 7.060 ; 0.706 ; 0.708
7.070 ; 0.500 ;; 7.070 ; Infinity ;; 7.070 ; 0.500 ;; 7.070 ; NaN ;; 7.070 ; 0.367 ; 0.001 ;; 7.070 ; 0.724 ; 0.741 ;; 7.070 ; 0.699 ; 0.715
7.080 ; 0.500 ;; 7.080 ; Infinity ;; 7.080 ; 0.500 ;; 7.080 ; NaN ;; 7.080 ; 0.367 ; 0.001 ;; 7.080 ; 0.717 ; 0.748 ;; 7.080 ; 0.692 ; 0.722
7.090 ; 0.500 ;; 7.090 ; Infinity ;; 7.090 ; 0.500 ;; 7.090 ; NaN ;; 7.090 ; 0.367 ; 0.001 ;; 7.090 ; 0.709 ; 0.755 ;; 7.090 ; 0.684 ; 0.729
7.100 ; 0.500 ;; 7.100 ; Infinity ;; 7.100 ; 0.500 ;; 7.100 ; NaN ;; 7.100 ; 0.367 ; 0.001 ;; 7.100 ; 0.702 ; 0.762 ;; 7.100 ; 0.677 ; 0.736
7.110 ; 0.500 ;; 7.110 ; Infinity ;; 7.110 ; 0.500 ;; 7.110 ; NaN ;; 7.110 ; 0.367 ; 0.001 ;; 7.110 ; 0.694 ; 0.769 ;; 7.110 ; 0.670 ; 0.743
7.120 ; 0.500 ;; 7.120 ; Infinity ;; 7.120 ; 0.500 ;; 7.120 ; NaN ;; 7.120 ; 0.367 ; 0.001 ;; 7.120 ; 0.687 ; 0.776 ;; 7.120 ; 0.662 ; 0.749
7.130 ; 0.500 ;; 7.130 ; Infinity ;; 7.130 ; 0.500 ;; 7.130 ; NaN ;; 7.130 ; 0.367 ; 0.001 ;; 7.130 ; 0.679 ; 0.783 ;; 7.130 ; 0.655 ; 0.756
7.140 ; 0.500 ;; 7.140 ; Infinity ;; 7.140 ; 0.500 ;; 7.140 ; NaN ;; 7.140 ; 0.367 ; 0.001 ;; 7.140 ; 0.671 ; 0.790 ;; 7.140 ; 0.647 ; 0.762
7.150 ; 0.500 ;; 7.150 ; Infinity ;; 7.150 ; 0.500 ;; 7.150 ; NaN ;; 7.150 ; 0.367 ; 0.001 ;; 7.150 ; 0.663 ; 0.797 ;; 7.150 ; 0.640 ; 0.769
7.160 ; 0.500 ;; 7.160 ; Infinity ;; 7.160 ; 0.500 ;; 7.160 ; NaN ;; 7.160 ; 0.367 ; 0.001 ;; 7.160 ; 0.655 ; 0.803 ;; 7.160 ; 0.632 ; 0.775
7.170 ; 0.500 ;; 7.170 ; Infinity ;; 7.170 ; 0.500 ;; 7.170 ; NaN ;; 7.170 ; 0.367 ; 0.001 ;; 7.170 ; 0.647 ; 0.810 ;; 7.170 ; 0.624 ; 0.781
7.180 ; 0.500 ;; 7.180 ; Infinity ;; 7.180 ; 0.500 ;; 7.180 ; NaN ;; 7.180 ; 0.367 ; 0.001 ;; 7.180 ; 0.639 ; 0.816 ;; 7.180 ; 0.616 ; 0.788
7.190 ; 0.500 ;; 7.190 ; Infinity ;; 7.190 ; 0.500 ;; 7.190 ; NaN ;; 7.190 ; 0.367 ; 0.001 ;; 7.190 ; 0.631 ; 0.823 ;; 7.190 ; 0.608 ; 0.794
7.200 ; 0.500 ;; 7.200 ; Infinity ;; 7.200 ; 0.500 ;; 7.200 ; NaN ;; 7.200 ; 0.367 ; 0.001 ;; 7.200 ; 0.623 ; 0.829 ;; 7.200 ; 0.600 ; 0.800
7.210 ; 0.500 ;; 7.210 ; Infinity ;; 7.210 ; 0.500 ;; 7.210 ; NaN ;; 7.210 ; 0.367 ; 0.001 ;; 7.210 ; 0.614 ; 0.835 ;; 7.210 ; 0.592 ; 0.806
7.220 ; 0.500 ;; 7.220 ; Infinity ;; 7.220 ; 0.500 ;; 7.220 ; NaN ;; 7.220 ; 0.367 ; 0.001 ;; 7.220 ; 0.606 ; 0.841 ;; 7.220 ; 0.584 ; 0.812
7.230 ; 0.500 ;; 7.230 ; Infinity ;; 7.230 ; 0.500 ;; 7.230 ; NaN ;; 7.230 ; 0.367 ; 0.001 ;; 7.230 ; 0.598 ; 0.847 ;; 7.230 ; 0.576 ; 0.817
7.240 ; 0.500 ;; 7.240 ; Infinity ;; 7.240 ; 0.500 ;; 7.240 ; NaN ;; 7.240 ; 0.367 ; 0.001 ;; 7.240 ; 0.589 ; 0.853 ;; 7.240 ; 0.568 ; 0.823
7.250 ; 0.500 ;; 7.250 ; Infinity ;; 7.250 ; 0.500 ;; 7.250 ; NaN ;; 7.250 ; 0.367 ; 0.001 ;; 7.250 ; 0.581 ; 0.859 ;; 7.250 ; 0.560 ; 0.829
7.260 ; 0.500 ;; 7.260 ; Infinity ;; 7.260 ; 0.500 ;; 7.260 ; NaN ;; 7.260 ; 0.367 ; 0.001 ;; 7.260 ; 0.572 ; 0.865 ;; 7.260 ; 0.551 ; 0.834
7.270 ; 0.500 ;; 7.270 ; Infinity ;; 7.270 ; 0.500 ;; 7.270 ; NaN ;; 7.270 ; 0.367 ; 0.001 ;; 7.270 ; 0.563 ; 0.871 ;; 7.270 ; 0.543 ; 0.840
7.280 ; 0.500 ;; 7.280 ; Infinity ;; 7.280 ; 0.500 ;; 7.280 ; NaN ;; 7.280 ; 0.367 ; 0.001 ;; 7.280 ; 0.555 ; 0.876 ;; 7.280 ; 0.534 ; 0.845
7.290 ; 0.500 ;; 7.290 ; Infinity ;; 7.290 ; 0.500 ;; 7.290 ; NaN ;; 7.290 ; 0.367 ; 0.001 ;; 7.290 ; 0.546 ; 0.882 ;; 7.290 ; 0.526 ; 0.851
7.300 ; 0.500 ;; 7.300 ; Infinity ;; 7.300 ; 0.500 ;; 7.300 ; NaN ;; 7.300 ; 0.367 ; 0.001 ;; 7.300 ; 0.537 ; 0.887 ;; 7.300 ; 0.517 ; 0.856
7.310 ; 0.500 ;; 7.310 ; Infinity ;; 7.310 ; 0.500 ;; 7.310 ; NaN ;; 7.310 ; 0.367 ; 0.001 ;; 7.310 ; 0.528 ; 0.893 ;; 7.310 ; 0.509 ; 0.861
7.320 ; 0.500 ;; 7.320 ; Infinity ;; 7.320 ; 0.500 ;; 7.320 ; NaN ;; 7.320 ; 0.367 ; 0.001 ;; 7.320 ; 0.519 ; 0.898 ;; 7.320 ; 0.500 ; 0.866
7.330 ; 0.500 ;; 7.330 ; Infinity ;; 7.330 ; 0.500 ;; 7.330 ; NaN ;; 7.330 ; 0.367 ; 0.001 ;; 7.330 ; 0.510 ; 0.903 ;; 7.330 ; 0.492 ; 0.871
7.340 ; 0.500 ;; 7.340 ; Infinity ;; 7.340 ; 0.500 ;; 7.340 ; NaN ;; 7.340 ; 0.367 ; 0.001 ;; 7.340 ; 0.501 ; 0.908 ;; 7.340 ; 0.483 ; 0.876
7.350 ; 0.500 ;; 7.350 ; Infinity ;; 7.350 ; 0.500 ;; 7.350 ; NaN ;; 7.350 ; 0.367 ; 0.001 ;; 7.350 ; 0.492 ; 0.913 ;; 7.350 ; 0.474 ; 0.881
7.360 ; 0.500 ;; 7.360 ; Infinity ;; 7.360 ; 0.500 ;; 7.360 ; NaN ;; 7.360 ; 0.367 ; 0.001 ;; 7.360 ; 0.483 ; 0.918 ;; 7.360 ; 0.465 ; 0.885
7.370 ; 0.500 ;; 7.370 ; Infinity ;; 7.370 ; 0.500 ;; 7.370 ; NaN ;; 7.370 ; 0.367 ; 0.001 ;; 7.370 ; 0.474 ; 0.923 ;; 7.370 ; 0.456 ; 0.890
7.380 ; 0.500 ;; 7.380 ; Infinity ;; 7.380 ; 0.500 ;; 7.380 ; NaN ;; 7.380 ; 0.367 ; 0.001 ;; 7.380 ; 0.465 ; 0.928 ;; 7.380 ; 0.447 ; 0.894
7.390 ; 0.500 ;; 7.390 ; Infinity ;; 7.390 ; 0.500 ;; 7.390 ; NaN ;; 7.390 ; 0.367 ; 0.001 ;; 7.390 ; 0.455 ; 0.932 ;; 7.390 ; 0.438 ; 0.899
7.400 ; 0.500 ;; 7.400 ; Infinity ;; 7.400 ; 0.500 ;; 7.400 ; NaN ;; 7.400 ; 0.367 ; 0.001 ;; 7.400 ; 0.446 ; 0.937 ;; 7.400 ; 0.429 ; 0.903
7.410 ; 0.500 ;; 7.410 ; Infinity ;; 7.410 ; 0.500 ;; 7.410 ; NaN ;; 7.410 ; 0.367 ; 0.001 ;; 7.410 ; 0.437 ; 0.941 ;; 7.410 ; 0.420 ; 0.907
7.420 ; 0.500 ;; 7.420 ; Infinity ;; 7.420 ; 0.500 ;; 7.420 ; NaN ;; 7.420 ; 0.367 ; 0.001 ;; 7.420 ; 0.427 ; 0.946 ;; 7.420 ; 0.411 ; 0.912
7.430 ; 0.500 ;; 7.430 ; Infinity ;; 7.430 ; 0.500 ;; 7.430 ; NaN ;; 7.430 ; 0.367 ; 0.001 ;; 7.430 ; 0.418 ; 0.950 ;; 7.430 ; 0.402 ; 0.916
7.440 ; 0.500 ;; 7.440 ; Infinity ;; 7.440 ; 0.500 ;; 7.440 ; NaN ;; 7.440 ; 0.367 ; 0.001 ;; 7.440 ; 0.408 ; 0.954 ;; 7.440 ; 0.393 ; 0.920
7.450 ; 0.500 ;; 7.450 ; Infinity ;; 7.450 ; 0.500 ;; 7.450 ; NaN ;; 7.450 ; 0.367 ; 0.001 ;; 7.450 ; 0.399 ; 0.958 ;; 7.450 ; 0.384 ; 0.923
7.460 ; 0.500 ;; 7.460 ; Infinity ;; 7.460 ; 0.500 ;; 7.460 ; NaN ;; 7.460 ; 0.367 ; 0.001 ;; 7.460 ; 0.389 ; 0.962 ;; 7.460 ; 0.375 ; 0.927
7.470 ; 0.500 ;; 7.470 ; Infinity ;; 7.470 ; 0.500 ;; 7.470 ; NaN ;; 7.470 ; 0.367 ; 0.001 ;; 7.470 ; 0.379 ; 0.966 ;; 7.470 ; 0.365 ; 0.931
7.480 ; 0.500 ;; 7.480 ; Infinity ;; 7.480 ; 0.500 ;; 7.480 ; NaN ;; 7.480 ; 0.367 ; 0.001 ;; 7.480 ; 0.370 ; 0.970 ;; 7.480 ; 0.356 ; 0.935
7.490 ; 0.500 ;; 7.490 ; Infinity ;; 7.490 ; 0.500 ;; 7.490 ; NaN ;; 7.490 ; 0.367 ; 0.001 ;; 7.490 ; 0.360 ; 0.974 ;; 7.490 ; 0.347 ; 0.938
7.500 ; 0.500 ;; 7.500 ; Infinity ;; 7.500 ; 0.500 ;; 7.500 ; NaN ;; 7.500 ; 0.367 ; 0.001 ;; 7.500 ; 0.350 ; 0.977 ;; 7.500 ; 0.337 ; 0.941
7.510 ; 0.500 ;; 7.510 ; Infinity ;; 7.510 ; 0.500 ;; 7.510 ; NaN ;; 7.510 ; 0.367 ; 0.001 ;; 7.510 ; 0.341 ; 0.981 ;; 7.510 ; 0.328 ; 0.945
7.520 ; 0.500 ;; 7.520 ; Infinity ;; 7.520 ; 0.500 ;; 7.520 ; NaN ;; 7.520 ; 0.367 ; 0.001 ;; 7.520 ; 0.331 ; 0.984 ;; 7.520 ; 0.318 ; 0.948
7.530 ; 0.500 ;; 7.530 ; Infinity ;; 7.530 ; 0.500 ;; 7.530 ; NaN ;; 7.530 ; 0.367 ; 0.001 ;; 7.530 ; 0.321 ; 0.988 ;; 7.530 ; 0.309 ; 0.951
7.540 ; 0.500 ;; 7.540 ; Infinity ;; 7.540 ; 0.500 ;; 7.540 ; NaN ;; 7.540 ; 0.367 ; 0.001 ;; 7.540 ; 0.311 ; 0.991 ;; 7.540 ; 0.299 ; 0.954
7.550 ; 0.500 ;; 7.550 ; Infinity ;; 7.550 ; 0.500 ;; 7.550 ; NaN ;; 7.550 ; 0.367 ; 0.001 ;; 7.550 ; 0.301 ; 0.994 ;; 7.550 ; 0.290 ; 0.957
7.560 ; 0.500 ;; 7.560 ; Infinity ;; 7.560 ; 0.500 ;; 7.560 ; NaN ;; 7.560 ; 0.367 ; 0.000 ;; 7.560 ; 0.291 ; 0.997 ;; 7.560 ; 0.280 ; 0.960
7.570 ; 0.500 ;; 7.570 ; Infinity ;; 7.570 ; 0.500 ;; 7.570 ; NaN ;; 7.570 ; 0.367 ; 0.000 ;; 7.570 ; 0.281 ; 1.000 ;; 7.570 ; 0.270 ; 0.963
7.580 ; 0.500 ;; 7.580 ; Infinity ;; 7.580 ; 0.500 ;; 7.580 ; NaN ;; 7.580 ; 0.367 ; 0.000 ;; 7.580 ; 0.271 ; 1.003 ;; 7.580 ; 0.261 ; 0.965
7.590 ; 0.500 ;; 7.590 ; Infinity ;; 7.590 ; 0.500 ;; 7.590 ; NaN ;; 7.590 ; 0.367 ; 0.000 ;; 7.590 ; 0.261 ; 1.005 ;; 7.590 ; 0.251 ; 0.968
7.600 ; 0.500 ;; 7.600 ; Infinity ;; 7.600 ; 0.500 ;; 7.600 ; NaN ;; 7.600 ; 0.367 ; 0.000 ;; 7.600 ; 0.251 ; 1.008 ;; 7.600 ; 0.241 ; 0.970
7.610 ; 0.500 ;; 7.610 ; Infinity ;; 7.610 ; 0.500 ;; 7.610 ; NaN ;; 7.610 ; 0.367 ; 0.000 ;; 7.610 ; 0.241 ; 1.010 ;; 7.610 ; 0.232 ; 0.973
7.620 ; 0.500 ;; 7.620 ; Infinity ;; 7.620 ; 0.500 ;; 7.620 ; NaN ;; 7.620 ; 0.367 ; 0.000 ;; 7.620 ; 0.231 ; 1.013 ;; 7.620 ; 0.222 ; 0.975
7.630 ; 0.500 ;; 7.630 ; Infinity ;; 7.630 ; 0.500 ;; 7.630 ; NaN ;; 7.630 ; 0.367 ; 0.000 ;; 7.630 ; 0.221 ; 1.015 ;; 7.630 ; 0.212 ; 0.977
7.640 ; 0.500 ;; 7.640 ; Infinity ;; 7.640 ; 0.500 ;; 7.640 ; NaN ;; 7.640 ; 0.367 ; 0.000 ;; 7.640 ; 0.211 ; 1.017 ;; 7.640 ; 0.202 ; 0.979
7.650 ; 0.500 ;; 7.650 ; Infinity ;; 7.650 ; 0.500 ;; 7.650 ; NaN ;; 7.650 ; 0.367 ; 0.000 ;; 7.650 ; 0.201 ; 1.020 ;; 7.650 ; 0.193 ; 0.981
7.660 ; 0.500 ;; 7.660 ; Infinity ;; 7.660 ; 0.500 ;; 7.660 ; NaN ;; 7.660 ; 0.367 ; 0.000 ;; 7.660 ; 0.190 ; 1.022 ;; 7.660 ; 0.183 ; 0.983
7.670 ; 0.500 ;; 7.670 ; Infinity ;; 7.670 ; 0.500 ;; 7.670 ; NaN ;; 7.670 ; 0.367 ; 0.000 ;; 7.670 ; 0.180 ; 1.023 ;; 7.670 ; 0.173 ; 0.985
7.680 ; 0.500 ;; 7.680 ; Infinity ;; 7.680 ; 0.500 ;; 7.680 ; NaN ;; 7.680 ; 0.367 ; 0.000 ;; 7.680 ; 0.170 ; 1.025 ;; 7.680 ; 0.163 ; 0.987
7.690 ; 0.500 ;; 7.690 ; Infinity ;; 7.690 ; 0.500 ;; 7.690 ; NaN ;; 7.690 ; 0.367 ; 0.000 ;; 7.690 ; 0.160 ; 1.027 ;; 7.690 ; 0.153 ; 0.988
7.700 ; 0.500 ;; 7.700 ; Infinity ;; 7.700 ; 0.500 ;; 7.700 ; NaN ;; 7.700 ; 0.367 ; 0.000 ;; 7.700 ; 0.149 ; 1.029 ;; 7.700 ; 0.143 ; 0.990
7.710 ; 0.500 ;; 7.710 ; Infinity ;; 7.710 ; 0.500 ;; 7.710 ; NaN ;; 7.710 ; 0.367 ; 0.000 ;; 7.710 ; 0.139 ; 1.030 ;; 7.710 ; 0.133 ; 0.991
7.720 ; 0.500 ;; 7.720 ; Infinity ;; 7.720 ; 0.500 ;; 7.720 ; NaN ;; 7.720 ; 0.367 ; 0.000 ;; 7.720 ; 0.129 ; 1.031 ;; 7.720 ; 0.124 ; 0.992
7.730 ; 0.500 ;; 7.730 ; Infinity ;; 7.730 ; 0.500 ;; 7.730 ; NaN ;; 7.730 ; 0.367 ; 0.000 ;; 7.730 ; 0.118 ; 1.033 ;; 7.730 ; 0.114 ; 0.994
7.740 ; 0.500 ;; 7.740 ; Infinity ;; 7.740 ; 0.500 ;; 7.740 ; NaN ;; 7.740 ; 0.367 ; 0.000 ;; 7.740 ; 0.108 ; 1.034 ;; 7.740 ; 0.104 ; 0.995
7.750 ; 0.500 ;; 7.750 ; Infinity ;; 7.750 ; 0.500 ;; 7.750 ; NaN ;; 7.750 ; 0.367 ; 0.000 ;; 7.750 ; 0.098 ; 1.035 ;; 7.750 ; 0.094 ; 0.996
7.760 ; 0.500 ;; 7.760 ; Infinity ;; 7.760 ; 0.500 ;; 7.760 ; NaN ;; 7.760 ; 0.367 ; 0.000 ;; 7.760 ; 0.087 ; 1.036 ;; 7.760 ; 0.084 ; 0.996
7.770 ; 0.500 ;; 7.770 ; Infinity ;; 7.770 ; 0.500 ;; 7.770 ; NaN ;; 7.770 ; 0.367 ; 0.000 ;; 7.770 ; 0.077 ; 1.037 ;; 7.770 ; 0.074 ; 0.997
7.780 ; 0.500 ;; 7.780 ; Infinity ;; 7.780 ; 0.500 ;; 7.780 ; NaN ;; 7.780 ; 0.367 ; 0.000 ;; 7.780 ; 0.067 ; 1.038 ;; 7.780 ; 0.064 ; 0.998
7.790 ; 0.500 ;; 7.790 ; Infinity ;; 7.790 ; 0.500 ;; 7.790 ; NaN ;; 7.790 ; 0.367 ; 0.000 ;; 7.790 ; 0.056 ; 1.038 ;; 7.790 ; 0.054 ; 0.999
